"cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength","ti_le_nuoc_ximang","log_strength"
141.3,212,0,203.5,0,971.8,748.5,28,29.89,1.44,3.43043250693049
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,0.937,3.19908119754002
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22,0.75,3.40850395684459
266,114,0,228,0,932,670,28,45.85,0.857,3.84695100868443
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29,1.249,2.95958682691764
255,0,0,192,0,889.8,945,90,21.86,0.753,3.12938865836666
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75,1.22,2.81839825827108
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64,0.75,3.62806731471718
296,0,0,192,0,1085,765,28,21.65,0.649,3.12015985192904
155,184,143,194,9,880,699,28,28.99,1.252,3.40086399276092
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35,1.103,3.62033291157883
173,116,0,192,0,946.8,856.8,3,6.94,1.11,2.07191327525904
385,0,0,186,0,966,763,14,27.92,0.483,3.36453339729056
237.5,237.5,0,228,0,932,594,7,26.26,0.96,3.30542042626839
167,187,195,185,7,898,636,28,23.89,1.108,3.2144661163795
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97,0.85,3.93123722435195
237.5,237.5,0,228,0,932,594,28,30.08,0.96,3.43656452549945
336,0,0,182,3,986,817,28,44.86,0.542,3.82559327742976
190.7,0,125.4,162.1,7.8,1090,804,3,15.04,0.85,2.77508560243837
312.7,0,0,178.1,8,999.7,822.2,28,25.1,0.57,3.26193531432865
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36,0.85,2.66444656362008
228,342.1,0,185.7,0,955.8,674.3,7,21.92,0.814,3.13200989184654
236,157,0,192,0,972.6,749.1,7,20.42,0.814,3.0643250650196
132,207,161,179,5,867,736,28,33.3,1.356,3.53514535417189
331,0,0,192,0,1025,821,28,31.74,0.58,3.48859757194299
310,143,0,168,10,914,804,28,45.3,0.542,3.83514196109219
304,76,0,228,0,932,670,90,49.19,0.75,3.91581580366684
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,0.361,4.19268046294296
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54,1.063,3.11529150861163
255,99,77,189,6,919,749,28,33.8,0.741,3.54961738678043
339,0,0,197,0,968,781,28,32.04,0.581,3.49771894865278
475,0,0,228,0,932,594,28,39.29,0.48,3.69610329920326
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74,1.248,3.20842136696434
313,145,0,127,8,1000,822,28,44.52,0.406,3.81815178981808
331,0,0,192,0,1025,821,90,37.91,0.58,3.66125128699646
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,1.011,3.69287147538347
165,0,143.6,163.8,0,1005.6,900.9,14,16.88,0.993,2.88368276974537
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,0.58,3.88588434781845
325,0,0,184,0,1063,783,7,17.54,0.566,2.91993056013771
167,75.4,167,164,7.9,1007.3,770.1,28,41.41,0.982,3.7473841834865
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28,0.874,3.23001356927866
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32,0.581,4.11610605400361
382,0,0,185,0,1047,739,28,37.42,0.484,3.64857815734041
149,118,92,183,7,953,780,28,23.52,1.228,3.19948911106801
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2,0.267,4.09767235231478
387,20,94,157,11.6,938,845,56,61.46,0.406,4.13452635185493
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2,0.96,2.90142159408275
326,0,138,199,11,801,792,28,40.68,0.61,3.73002139744511
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9,0.518,3.92986292355648
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,0.361,3.53805656437935
200,200,0,190,0,1145,660,28,49.25,0.95,3.91701054693918
331,0,0,192,0,978,825,180,39,0.58,3.68887945411394
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27,0.724,3.64466629943761
234,156,0,189,5.9,981,760,28,39.3,0.808,3.69635146895264
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,0.541,3.6691868207682
350,0,0,186,0,1050,770,7,20.28,0.531,3.05776766447344
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67,0.935,3.90540112911926
480,0,0,192,0,936.2,712.2,7,34.57,0.4,3.57150258596036
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23,0.58,3.58988750490699
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35,0.75,3.76930670322655
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,1.011,3.07869379426834
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38,0.846,2.43185742869818
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34,0.851,3.6464937376175
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9,0.406,4.02356438016105
332.5,142.5,0,228,0,932,594,365,41.05,0.686,3.73885938641896
350,0,0,203,0,974,775,56,29.98,0.58,3.43334183498872
237,92,71,247,6,853,695,28,28.63,1.042,3.38878736158547
238.1,0,94.1,186.7,7,949.9,847,100,44.3,0.784,3.81330703248899
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04,0.58,3.97104634587761
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8,0.568,3.92789635458444
200,133,0,192,0,965.4,806.2,3,11.41,0.96,2.51850259921652
342,38,0,228,0,932,670,90,50.46,0.667,3.9408048068536
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1,0.406,3.37073817417745
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92,1.158,3.32934327789417
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08,0.579,3.83037901638764
500,0,0,200,0,1125,613,14,36.94,0.4,3.63600596450687
284,15,141,179,5.5,842,801,7,24.13,0.63,3.2240623515555
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42,1.061,3.01651481273652
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42,0.645,3.34709312266895
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,0.937,3.69262244039277
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47,0.851,3.3833727967496
116,173,0,192,0,909.8,891.9,90,31.02,1.655,3.46636070756857
277,0,0,191,0,968,856,90,31.25,0.69,3.47351804324178
376,0,0,214.6,0,1003.5,762.4,100,43.06,0.571,3.7855523413742
236,0,0,194,0,968,885,14,12.84,0.822,2.62756295018952
273,0,90,199,11,931,762,28,32.24,0.729,3.50375396998725
500,0,0,140,4,966,853,28,67.57,0.28,4.22785512129627
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31,0.75,3.30725293548561
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,0.455,3.5918177412708
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8,0.58,3.21084365317094
139.6,209.4,0,192,0,1047,806.9,7,14.59,1.375,2.74662968306969
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,0.455,4.04129534113228
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5,0.935,3.11351530921037
427.5,47.5,0,228,0,932,594,180,41.84,0.533,3.75747224557955
183.9,122.6,0,203.5,0,959.2,800,3,4.9,1.107,1.77495235091167
475,0,59,142,1.9,1098,641,28,57.23,0.299,4.06440068584903
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,0.455,4.28082412916472
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4,0.488,3.53805656437935
252,97,76,194,8,835,821,28,33.4,0.77,3.53805656437935
237.5,237.5,0,228,0,932,594,180,36.25,0.96,3.61765194482557
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96,1.176,3.52518336144315
540,0,0,162,2.5,1055,676,28,61.89,0.3,4.14138716855541
313,0,113,178,8,1002,689,28,36.8,0.569,3.63230910262554
380,0,0,228,0,932,670,180,53.1,0.6,3.99083418585244
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98,0.767,2.56340971127594
436,0,0,218,0,838.4,719.7,28,23.85,0.5,3.21285775254264
155,0,143,193,9,877,868,28,9.74,1.245,2.37397508908072
281,0,0,186,0,1104,774,7,14.5,0.662,2.7408400239252
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18,1.216,2.57870052907436
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63,0.609,3.67958640720234
397,17.2,158,167,20.8,967,633,28,55.65,0.421,4.03689198747402
238,0,0,186,0,1119,789,7,12.05,0.782,2.5687881337687
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68,1.104,3.35620001573142
385,0,0,186,0,966,763,28,31.35,0.483,3.47661402094691
302,0,0,203,0,974,817,14,18.13,0.672,2.95125778345216
192,288,0,192,0,929.8,716.1,3,12.79,1,2.62394369180521
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36,1.159,3.64701525001524
160,128,122,182,6.4,824,879,28,39.4,1.138,3.6988297849671
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45,0.851,3.41608599415591
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36,0.58,3.53689309711605
331,0,0,192,0,978,825,7,16.26,0.58,2.84839168565528
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64,0.767,3.70475280327023
155,183,0,193,9,877,868,28,23.79,1.245,3.2104403460471
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94,0.724,3.84887019042288
446,24,79,162,11.6,967,712,56,61.07,0.363,4.12826278042556
133,210,0,196,3,949,795,28,31.03,1.474,3.46667296362107
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19,1.66,3.53193320365121
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86,0.64,3.12938865836666
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7,0.568,4.3267781604434
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5,0.338,4.15103990589865
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77,0.935,3.35933317756346
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88,0.703,3.49286457018798
236,0,0,193,0,968,885,7,9.99,0.818,2.39698576841553
236,0,0,193,0,968,885,365,25.08,0.818,3.26116873705845
339,0,0,197,0,968,781,3,13.22,0.581,2.65464942437509
387,20,94,157,14.3,938,845,56,56.34,0.406,4.04899846045522
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57,1.22,3.79706098695846
387,20,94,157,13.9,938,845,28,46.68,0.406,3.86451202275709
133,200,0,192,0,927.4,839.2,3,6.88,1.444,2.06432790386979
162,214,164,202,10,820,680,28,30.65,1.247,3.45473814859019
262,111,86,195,5,895,733,28,33.72,0.744,3.54731588979215
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,0.85,3.44648937085386
332.5,142.5,0,228,0,932,594,90,37.72,0.686,3.65635626240838
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8,0.56,3.7796338173824
302,0,0,203,0,974,817,180,26.74,0.672,3.32287541488669
183.9,122.6,0,203.5,0,959.2,800,90,32.53,1.107,3.51244056047814
500,0,0,200,0,1125,613,7,33.21,0.4,3.53251799898951
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51,0.645,4.03441761364175
387,20,94,157,11.6,938,845,28,46.68,0.406,3.86451202275709
380,95,0,228,0,932,594,270,41.15,0.6,3.74123468444786
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59,0.746,3.42067315816281
160,188,146,203,11,829,710,28,32.84,1.269,3.52164353473802
322,0,0,203,0,974,800,180,29.59,0.63,3.42067315816281
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,0.95,3.5266545990191
252,0,0,186,0,1111,784,7,11.47,0.738,2.52332575969195
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84,0.705,3.21245525706528
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4,0.267,4.05004430332552
198.6,132.4,0,192,0,978.4,825.5,360,44.3,0.967,3.81330703248899
116,173,0,192,0,909.8,891.9,28,22.35,1.655,3.15059698411491
304,76,0,228,0,932,670,365,55.26,0.75,4.02998380306171
331,0,0,192,0,978,825,28,31.45,0.58,3.4797004431501
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7,0.505,4.2297491992283
349,0,0,192,0,1047,806,7,18.13,0.55,2.95125778345216
520,0,0,170,5.2,855,855,28,60.28,0.327,4.11545352543234
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,0.769,3.53805656437935
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24,0.727,2.90361698464619
446,24,79,162,11.6,967,712,28,44.42,0.363,3.81595253667741
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68,0.91,3.65532267058509
190.7,0,125.4,162.1,7.8,1090,804,56,35.34,0.85,3.59291906296803
322,149,0,186,8,951,709,28,52.42,0.578,3.97818520768181
446,24,79,162,11.6,967,712,28,57.03,0.363,4.06096011820252
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,1.011,3.90378920050104
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47,0.85,2.60046499042227
276,116,90,180,9,870,768,28,44.28,0.652,3.81286543389493
393,0,0,192,0,940.6,785.6,90,48.85,0.489,3.90901849640785
238.1,0,0,185.7,0,1118.8,789.3,28,17.58,0.78,2.92208573338569
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03,0.85,2.40061883326541
389.9,189,0,145.9,22,944.7,755.8,3,40.6,0.374,3.72810016726722
157,236,0,192,0,935.4,781.2,90,43.38,1.223,3.79278891750445
296,0,0,192,0,1085,765,7,14.2,0.649,2.72129542785223
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48,0.85,3.23789383070396
359,19,141,154,10.9,942,801,28,59.49,0.429,4.10247806211882
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4,0.455,4.16511363311031
102,153,0,192,0,887,942,7,7.68,1.882,2.16102152867226
202,11,141,206,1.7,942,801,3,9.85,1.02,2.38416507998647
350,0,0,203,0,974,775,14,22.53,0.58,3.15827620273927
236,157,0,192,0,972.6,749.1,28,32.88,0.814,3.52282486978385
252,0,0,185,0,1111,784,7,13.71,0.734,2.68852753461335
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95,0.58,4.12632760807515
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87,0.541,3.82581130860908
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,0.455,4.36054760299676
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99,0.645,4.14297598363384
315,137,0,145,5.9,1130,745,28,81.75,0.46,4.41582401425717
159,209,161,201,7,848,669,28,30.88,1.264,3.46197885392201
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79,1.249,3.2104403460471
281,0,0,186,0,1104,774,28,22.44,0.662,3.15444396470881
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77,0.751,3.32395630131871
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1,0.488,4.23555473077362
266,114,0,228,0,932,670,365,52.91,0.857,3.98731598946358
277,0,0,191,0,968,856,180,32.33,0.69,3.50645789231965
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95,1.22,3.55391846867982
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46,1.054,3.7003138317396
397,0,0,185.7,0,1040.6,734.3,7,25.45,0.468,3.27525615830431
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84,0.751,3.84673753872952
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03,1.103,2.94601668130806
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29,1.66,3.23040906068187
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07,1.258,3.40352799700044
190,190,0,228,0,932,670,180,46.93,1.2,3.86974161317154
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89,0.518,4.10906895762048
349,0,0,192,0,1047,806,90,39.49,0.55,3.70105503004407
184,86,190,213,6,923,623,28,22.93,1.158,3.17513290192028
424,22,132,178,8.5,822,750,7,39,0.42,3.68887945411394
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2,0.406,3.9740583963476
212,0,124.8,159,7.8,1085.4,799.5,3,19.52,0.75,3.02140002030257
156,243,0,180,11,1022,698,28,37.36,1.154,3.64701525001524
136,196,98,199,6,847,783,28,26.97,1.463,3.33113250721387
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42,0.581,4.21094170980591
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96,0.913,2.56186769092413
385,0,0,186,0,966,763,3,14.7,0.483,2.75366071235426
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62,0.935,2.68239045432163
254,0,0,198,0,968,863,90,26.94,0.78,3.33005935382882
359,19,141,154,10.9,942,801,3,23.64,0.429,3.20437113866532
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34,0.85,3.59291906296803
382,0,0,186,0,1047,739,7,24,0.487,3.2188758248682
220.8,147.2,0,185.7,0,1055,744.3,28,25.75,0.841,3.28653447334202
313.3,0,113,178.5,8,1001.9,688.7,28,36.8,0.57,3.63230910262554
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72,1.048,3.96499489019425
144,170,133,192,8,814,805,28,29.87,1.333,3.42978483851407
310,0,0,192,0,1012,830,90,35.76,0.619,3.60441029748749
425,106.3,0,151.4,18.6,936,803.7,56,64.9,0.356,4.18813844150846
108.3,162.4,0,203.5,0,938.2,849,3,2.33,1.879,1.20297230399235
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02,0.724,2.94549105711724
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3,0.294,4.25277179881662
310,0,0,192,0,1012,830,28,27.83,0.619,3.36141651165031
522,0,0,146,0,896,896,7,50.51,0.28,3.94177596357749
236,0,0,194,0,968,885,3,6.47,0.822,2.01089499914473
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18,0.85,2.94443897916644
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73,0.813,2.37304355664261
149,153,194,192,8,935,623,28,24.58,1.289,3.2418107961507
439,177,0,186,11.1,884.9,707.9,56,71.7,0.424,4.28634138453947
313,145,0,178,8,1002,689,28,41.05,0.569,3.73885938641896
427.5,47.5,0,228,0,932,594,90,41.54,0.533,3.75044480977209
165,0,143.6,163.8,0,1005.6,900.9,28,26.2,0.993,3.30321697330195
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43,0.576,3.97837238596968
393,0,0,192,0,940,758,90,48.79,0.489,3.90781416065409
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,0.455,4.38576962095272
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32,1.66,1.46325540225602
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15,0.724,3.71722392712308
200,0,0,180,0,1125,845,28,12.25,0.9,2.58399755243223
108.3,162.4,0,203.5,0,938.2,849,90,29.23,1.879,3.40883480879137
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23,0.85,3.71916614671881
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74,0.579,3.57627050973128
153,239,0,200,6,1002,684,28,26.86,1.307,3.32719196835166
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35,0.85,3.47661402094691
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27,0.767,3.53427033588652
322,0,0,203,0,974,800,14,20.77,0.63,3.08053287524646
525,0,0,189,0,1125,613,270,67.11,0.36,4.22112404525323
389.9,189,0,145.9,22,944.7,755.8,56,79.4,0.374,4.38701417618492
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29,0.58,3.76792166145389
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8,0.381,3.65842024662923
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77,0.656,3.9273056289593
310,0,0,192,0,1012,830,7,17.24,0.619,2.90361698464619
266,114,0,228,0,932,670,270,51.73,0.857,3.96518455354238
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63,1.042,3.38878736158547
366,187,0,191.3,6.6,824.3,756.9,28,65.91,0.523,4.20334843279473
333,0,0,192,0,931.2,842.6,3,15.62,0.577,2.8106067894273
326,166,0,174,9,882,790,28,61.23,0.534,4.13083719858113
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72,1.388,3.51809113313365
133,200,0,192,0,927.4,839.2,7,13.66,1.444,2.68512269645851
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97,0.75,3.63679637424371
500,0,0,200,0,1125,613,270,55.16,0.4,4.02820475971756
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46,1.249,2.59972232421658
349,0,0,192,0,1056,809,120,40.86,0.55,3.73433071701785
389.9,189,0,145.9,22,944.7,755.8,28,74.5,0.374,4.32413265625498
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76,1.104,3.54846730039719
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64,0.58,4.03671544938546
166,260,0,183,13,859,827,28,37.91,1.102,3.66125128699646
277,116.8,91,190.6,7,946.5,665.6,28,43.58,0.688,3.79728532795772
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,0.361,3.53805656437935
439,177,0,186,11.1,884.9,707.9,28,66,0.424,4.20469261939097
540,0,0,173,0,1125,613,3,41.64,0.32,3.75279277985759
480,0,0,192,0,936.2,712.2,28,43.94,0.4,3.80532826675718
382,0,0,186,0,1047,739,28,37.42,0.487,3.64857815734041
475,0,0,228,0,932,594,90,42.23,0.48,3.76653469867954
143,169,143,191,8,967,643,28,29.72,1.336,3.42491390827947
203.5,305.3,0,203.5,0,963.4,630,90,51.86,1,3.96764690917614
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9,0.455,4.18813844150846
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37,1.021,2.59301339111385
153,145,113,178,8,867,824,28,26.23,1.163,3.30431930668567
450.1,50,0,200,3,1124.4,613.2,28,39.38,0.444,3.69833461288469
238,0,0,186,0,1119,789,28,17.54,0.782,2.91993056013771
380,0,0,228,0,932,670,90,52.91,0.6,3.98731598946358
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7,0.294,4.27249074760558
528,0,0,185,6.9,920,720,28,56.83,0.35,4.05750767217013
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91,0.78,3.32898504754823
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6,0.997,2.92316158071916
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4,0.75,3.64805745959368
475,0,0,228,0,932,594,270,42.13,0.48,3.76421881065975
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,0.361,3.53805656437935
198.6,132.4,0,192,0,978.4,825.5,3,9.13,0.967,2.31550131826059
491,26,123,201,3.9,822,699,7,37.92,0.409,3.6615082573178
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04,0.58,3.9520126536443
342,38,0,228,0,932,670,180,52.12,0.667,3.97255350516818
387,20,94,157,13.9,938,845,7,45.9,0.406,3.84801767545223
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86,1.311,3.32719196835166
281,0,0,185,0,1104,774,28,22.44,0.658,3.15444396470881
198.6,132.4,0,192,0,978.4,825.5,90,38.07,0.967,3.66535490906698
491,26,123,210,3.9,882,699,28,55.55,0.428,4.03512520256213
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67,0.579,3.5743099993708
144,0,175,158,18,943,844,28,15.42,1.097,2.79850010402428
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22,0.581,3.76630335107874
252.5,0,0,185.7,0,1111.6,784.3,28,19.77,0.735,3.03350963788802
236,0,0,193,0,968,885,180,24.1,0.818,3.22286784613774
540,0,0,173,0,1125,613,270,74.17,0.32,4.31975221518938
295,0,0,185,0,1069,769,7,14.8,0.627,2.76000994003292
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46,1.106,2.67138621673062
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22,0.724,3.44105891508729
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14,0.846,3.14156272176553
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06,0.635,3.95239689956642
339,0,0,185,0,1069,754,28,31.84,0.546,3.49164728458423
505,0,60,195,0,1030,630,28,64.02,0.386,4.17469491487576
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54,0.85,3.48247010179089
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4,0.455,3.56671182013973
139.6,209.4,0,192,0,1047,806.9,360,44.7,1.375,3.82209829790016
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96,1.068,2.94233149682688
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39,0.851,3.72303930576064
376,0,0,214.6,0,1003.5,762.4,14,25.62,0.571,3.28166281296697
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66,0.75,3.51631018876266
157,236,0,192,0,935.4,781.2,7,16.89,1.223,2.88424189752063
304,76,0,228,0,932,670,28,47.81,0.75,3.88793520989906
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81,1.048,3.49073334697301
304,140,0,214,6,895,722,28,33.42,0.704,3.53863779078339
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32,0.935,2.11866225483312
252,0,0,185,0,1111,784,28,19.69,0.734,3.02965049175745
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3,0.568,3.37758751602302
350,0,0,203,0,974,775,90,31.35,0.58,3.47661402094691
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96,0.746,3.98824303133956
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8,0.505,4.35414143118435
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87,1.333,3.42978483851407
236,157,0,192,0,972.6,749.1,90,47.78,0.814,3.88732039278777
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73,0.724,3.54760386675598
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37,0.935,3.83665269840337
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03,0.635,3.76189754685051
